repo,element_id,correctness,completeness,relevance,clarity,reasoning
astropy,0,7,6,8,7,6
astropy,1,9,9,10,8,9
astropy,2,9,8,10,8,9
astropy,3,8,7,9,7,8
astropy,4,1,1,1,1,1
astropy,5,10,10,10,10,10
astropy,6,9,9,10,9,9
astropy,7,10,10,10,10,10
astropy,8,9,9,10,9,9
astropy,9,1,1,1,1,1
astropy,10,9,9,10,8,9
astropy,11,1,1,1,1,1
astropy,12,10,10,10,10,10
astropy,13,10,10,10,10,10
astropy,14,1,1,1,1,1
astropy,15,9,9,10,9,9
astropy,16,9,9,10,10,9
astropy,17,9,9,10,8,9
astropy,18,9,9,10,10,9
astropy,19,1,1,1,1,1
astropy,20,9,8,10,9,9
astropy,21,1,1,1,3,1
astropy,22,9,8,10,9,9
astropy,23,8,8,9,8,8
astropy,24,9,9,10,8,9
astropy,25,2,3,6,8,4
astropy,26,9,9,10,8,9
astropy,27,1,1,1,1,1
astropy,28,9,8,10,9,9
astropy,29,10,8,10,9,8
astropy,30,9,9,10,8,9
astropy,31,8,6,9,8,7
astropy,32,10,10,10,10,10
astropy,33,6,7,8,9,7
astropy,34,9,8,10,8,8
astropy,35,8,7,9,8,7
astropy,36,1,1,1,8,1
astropy,37,9,8,9,8,9
astropy,38,8,9,10,9,9
astropy,39,10,10,10,10,10
astropy,40,9,8,10,9,9
astropy,41,9,8,10,9,9
astropy,42,9,9,10,8,9
astropy,43,9,9,10,8,9
astropy,44,9,9,10,8,9
astropy,45,10,10,10,10,10
astropy,46,10,10,10,10,10
astropy,47,8,7,9,9,8
conan,0,10,10,10,10,10
conan,1,10,10,10,10,10
conan,2,10,10,10,10,10
conan,3,10,10,10,10,10
conan,4,10,10,10,10,10
conan,5,10,10,10,10,10
conan,6,10,10,10,10,10
conan,7,10,10,10,10,10
conan,8,10,10,10,10,10
conan,9,10,10,10,10,10
conan,10,10,10,10,10,10
conan,11,10,10,10,10,10
conan,12,9,8,10,8,9
conan,13,9,8,10,8,9
conan,14,10,10,10,10,10
conan,15,10,10,10,10,10
conan,16,10,10,10,10,10
conan,17,10,10,10,10,10
conan,18,9,8,10,8,9
conan,19,10,10,10,10,10
conan,20,10,10,10,10,10
conan,21,10,10,10,10,10
conan,22,10,10,10,10,10
conan,23,9,8,10,9,9
conan,24,10,10,10,10,10
conan,25,10,10,10,10,10
conan,26,10,10,10,10,10
conan,27,10,10,10,10,10
conan,28,10,10,10,10,10
conan,29,10,10,10,10,10
conan,30,9,8,10,8,9
conan,31,6,4,8,7,6
conan,32,10,10,10,9,10
conan,33,10,10,10,10,10
conan,34,10,10,10,10,10
conan,35,10,10,10,10,10
conan,36,10,10,10,10,10
conan,37,10,10,10,10,10
conan,38,10,10,10,10,10
conan,39,10,10,10,10,10
conan,40,10,10,10,10,10
conan,41,10,10,10,10,10
conan,42,10,10,10,10,10
conan,43,10,10,10,10,10
conan,44,10,10,10,10,10
conan,45,10,10,10,10,10
conan,46,10,10,10,10,10
conan,47,10,10,10,10,10
django,0,8,7,9,9,8
django,1,8,7,9,8,7
django,2,10,10,10,10,10
django,3,9,8,10,9,9
django,4,9,9,10,9,9
django,5,9,8,10,9,9
django,6,8,7,9,8,7
django,7,8,7,9,8,7
django,8,9,8,10,9,9
django,9,8,7,9,8,8
django,10,8,7,9,8,8
django,11,9,9,10,8,9
django,12,9,8,10,9,9
django,13,8,7,9,8,7
django,14,9,8,10,9,9
django,15,9,8,10,9,9
django,16,8,7,9,8,7
django,17,9,8,10,9,9
django,18,8,7,9,8,8
django,19,8,6,10,9,8
django,20,9,8,10,9,9
django,21,8,7,9,8,8
django,22,8,7,9,8,8
django,23,9,8,10,9,9
django,24,9,8,10,9,9
django,25,8,7,9,8,7
django,26,8,7,9,8,7
django,27,6,4,8,9,6
django,28,9,8,10,9,9
django,29,8,6,10,9,7
django,30,8,6,9,8,7
django,31,8,6,9,8,7
django,32,6,4,8,9,5
django,33,8,6,10,8,7
django,34,6,4,8,7,5
django,35,9,9,10,8,9
django,36,9,8,10,9,9
django,37,9,8,10,9,9
django,38,8,7,9,8,7
django,39,8,6,9,9,8
django,40,9,9,10,9,9
django,41,9,9,10,9,9
django,42,9,8,10,8,9
django,43,10,10,10,10,10
django,44,9,9,10,9,9
django,45,9,8,10,8,9
django,46,9,8,10,9,9
django,47,9,8,10,9,9
flask,0,8,7,9,9,8
flask,1,9,9,10,9,9
flask,2,8,7,9,9,8
flask,3,9,8,10,9,9
flask,4,9,9,10,10,9
flask,5,9,9,10,9,9
flask,6,9,9,10,9,9
flask,7,9,8,10,9,9
flask,8,9,8,10,9,9
flask,9,9,9,10,10,9
flask,10,9,9,10,9,9
flask,11,8,7,9,8,7
flask,12,9,9,10,10,9
flask,13,9,8,10,9,9
flask,14,9,9,10,10,9
flask,15,10,10,10,10,10
flask,16,9,8,10,9,9
flask,17,9,9,10,9,9
flask,18,9,9,10,10,9
flask,19,9,9,10,9,9
flask,20,9,9,10,10,9
flask,21,9,8,10,9,9
flask,22,9,8,10,9,8
flask,23,9,9,10,10,9
flask,24,9,9,10,9,9
flask,25,9,8,10,9,9
flask,26,9,8,10,9,8
flask,27,9,9,10,9,9
flask,28,9,8,10,9,8
flask,29,9,7,10,9,8
flask,30,9,8,10,9,9
flask,31,9,8,10,9,8
flask,32,6,6,9,8,7
flask,33,9,8,10,9,9
flask,34,9,8,10,9,9
flask,35,8,6,9,8,7
flask,36,9,8,10,9,9
flask,37,9,9,10,9,9
flask,38,9,9,10,9,9
flask,39,9,9,10,9,9
flask,40,9,9,10,10,9
flask,41,9,9,10,9,9
flask,42,9,9,10,9,9
flask,43,9,9,10,8,9
flask,44,9,9,10,9,9
flask,45,9,8,10,9,9
flask,46,6,4,8,9,7
flask,47,9,9,10,10,9
matplotlib,0,9,9,10,9,9
matplotlib,1,9,9,10,8,9
matplotlib,2,9,9,10,9,9
matplotlib,3,10,10,10,10,10
matplotlib,4,9,9,10,9,9
matplotlib,5,10,10,10,10,10
matplotlib,6,9,9,10,9,9
matplotlib,7,1,1,1,1,1
matplotlib,8,9,9,10,9,9
matplotlib,9,8,7,9,8,8
matplotlib,10,9,9,10,8,9
matplotlib,11,9,9,10,8,9
matplotlib,12,9,9,10,9,9
matplotlib,13,9,8,10,9,9
matplotlib,14,9,8,10,9,9
matplotlib,15,9,8,10,9,9
matplotlib,16,9,8,10,10,9
matplotlib,17,9,8,10,9,9
matplotlib,18,8,7,10,9,8
matplotlib,19,9,8,10,10,9
matplotlib,20,9,8,10,9,9
matplotlib,21,6,4,8,7,6
matplotlib,22,8,7,9,9,8
matplotlib,23,8,6,10,9,8
matplotlib,24,9,8,10,9,9
matplotlib,25,1,1,1,1,1
matplotlib,26,9,8,10,9,9
matplotlib,27,8,7,9,8,7
matplotlib,28,6,4,8,9,7
matplotlib,29,6,4,8,9,7
matplotlib,30,8,6,10,9,7
matplotlib,31,1,1,1,1,1
matplotlib,32,9,8,10,9,8
matplotlib,33,6,4,8,7,6
matplotlib,34,10,10,10,10,10
matplotlib,35,9,8,10,9,8
matplotlib,36,8,7,9,8,8
matplotlib,37,1,1,1,1,1
matplotlib,38,9,8,10,9,9
matplotlib,39,9,8,10,9,9
matplotlib,40,9,8,10,9,9
matplotlib,41,9,8,10,9,9
matplotlib,42,8,6,9,8,7
matplotlib,43,8,7,9,9,8
matplotlib,44,9,8,10,9,9
matplotlib,45,1,1,1,1,1
matplotlib,46,8,7,9,8,8
matplotlib,47,9,9,10,10,9
pylint,0,9,8,10,9,8
pylint,1,8,7,9,8,7
pylint,2,6,7,8,9,7
pylint,3,8,7,9,8,7
pylint,4,10,10,10,10,10
pylint,5,9,9,10,9,9
pylint,6,8,9,10,9,8
pylint,7,7,6,8,7,6
pylint,8,4,4,6,8,5
pylint,9,10,10,10,10,10
pylint,10,9,9,10,9,9
pylint,11,9,8,9,8,9
pylint,12,1,1,1,8,1
pylint,13,9,9,10,9,9
pylint,14,1,1,2,8,1
pylint,15,1,1,1,8,1
pylint,16,8,7,9,8,8
pylint,17,9,8,10,9,9
pylint,18,1,1,1,8,1
pylint,19,8,6,9,9,7
pylint,20,9,8,10,9,9
pylint,21,9,8,10,9,9
pylint,22,7,6,9,8,7
pylint,23,1,1,2,8,1
pylint,24,8,6,9,8,7
pylint,25,9,8,9,8,9
pylint,26,9,8,10,8,9
pylint,27,8,7,9,8,8
pylint,28,8,6,9,8,7
pylint,29,1,1,1,10,1
pylint,30,9,8,10,9,9
pylint,31,8,6,9,8,7
pylint,32,2,3,6,8,4
pylint,33,1,1,1,8,1
pylint,34,1,1,3,8,2
pylint,35,8,6,9,8,7
pylint,36,8,7,9,8,8
pylint,37,6,4,8,9,7
pylint,38,8,7,9,9,8
pylint,39,6,4,8,7,6
pylint,40,6,4,8,9,7
pylint,41,8,6,9,8,7
pylint,42,6,7,8,9,7
pylint,43,7,6,8,7,7
pylint,44,9,8,10,9,9
pylint,45,8,7,9,9,8
pylint,46,6,4,8,9,7
pylint,47,8,7,9,8,8
pytest,0,8,9,9,8,8
pytest,1,9,8,10,8,9
pytest,2,7,6,8,7,7
pytest,3,6,4,8,9,7
pytest,4,9,8,10,9,9
pytest,5,9,8,10,9,9
pytest,6,9,9,10,10,9
pytest,7,8,6,9,9,8
pytest,8,9,9,10,9,9
pytest,9,9,8,10,9,9
pytest,10,8,7,9,8,8
pytest,11,8,7,10,9,8
pytest,12,9,8,10,9,9
pytest,13,9,8,10,9,9
pytest,14,1,1,2,8,1
pytest,15,1,1,1,1,1
pytest,16,8,7,9,8,8
pytest,17,9,8,10,9,9
pytest,18,9,7,10,9,8
pytest,19,9,8,10,9,9
pytest,20,6,4,8,9,7
pytest,21,8,7,10,9,8
pytest,22,6,4,8,7,6
pytest,23,3,2,6,8,4
pytest,24,8,7,9,8,8
pytest,25,8,7,9,8,8
pytest,26,8,7,9,8,8
pytest,27,7,6,9,8,7
pytest,28,8,6,10,9,8
pytest,29,8,6,10,9,8
pytest,30,8,7,9,8,8
pytest,31,6,4,8,9,6
pytest,32,9,8,10,9,8
pytest,33,6,6,8,7,7
pytest,34,6,4,8,7,5
pytest,35,1,1,1,8,1
pytest,36,8,7,9,8,8
pytest,37,8,6,10,9,8
pytest,38,1,1,1,1,1
pytest,39,8,7,9,8,8
pytest,40,8,7,9,9,8
pytest,41,8,7,9,9,8
pytest,42,8,7,9,8,8
pytest,43,8,7,9,8,8
pytest,44,8,7,10,9,8
pytest,45,9,8,10,9,9
pytest,46,4,3,7,9,6
pytest,47,6,4,8,9,7
reflex,0,8,9,10,7,9
reflex,1,10,10,10,10,10
reflex,2,10,10,10,10,10
reflex,3,9,9,10,8,9
reflex,4,10,10,10,10,10
reflex,5,10,10,10,10,10
reflex,6,10,10,10,10,10
reflex,7,1,1,1,1,1
reflex,8,10,10,10,10,10
reflex,9,10,10,10,10,10
reflex,10,10,10,10,10,10
reflex,11,10,10,10,10,10
reflex,12,10,10,10,10,10
reflex,13,10,10,10,10,10
reflex,14,10,10,10,10,10
reflex,15,10,10,10,10,10
reflex,16,10,10,10,10,10
reflex,17,10,10,10,10,10
reflex,18,10,10,10,10,10
reflex,19,10,10,10,10,10
reflex,20,9,8,10,8,9
reflex,21,10,10,10,10,10
reflex,22,9,8,10,9,9
reflex,23,1,1,1,10,1
reflex,24,10,10,10,10,10
reflex,25,10,10,10,10,10
reflex,26,10,10,10,10,10
reflex,27,10,10,10,10,10
reflex,28,10,10,10,10,10
reflex,29,9,8,10,9,9
reflex,30,10,10,10,10,10
reflex,31,10,10,10,10,10
reflex,32,10,10,10,10,10
reflex,33,10,10,10,10,10
reflex,34,10,10,10,10,10
reflex,35,10,10,10,10,10
reflex,36,10,10,10,10,10
reflex,37,10,10,10,10,10
reflex,38,9,8,10,9,9
reflex,39,10,10,10,10,10
reflex,40,10,10,10,10,10
reflex,41,10,10,10,10,10
reflex,42,10,10,10,10,10
reflex,43,10,10,10,10,10
reflex,44,10,10,10,10,10
reflex,45,9,8,10,9,9
reflex,46,10,10,10,10,10
reflex,47,10,10,10,10,10
requests,0,1,1,1,2,1
requests,1,9,9,10,9,9
requests,2,8,8,9,8,7
requests,3,9,8,10,9,8
requests,4,9,8,10,9,9
requests,5,9,8,10,9,9
requests,6,6,6,9,8,7
requests,7,9,8,10,9,9
requests,8,9,8,10,9,9
requests,9,9,8,10,9,9
requests,10,9,8,10,9,9
requests,11,8,7,9,9,8
requests,12,9,8,10,9,9
requests,13,9,8,10,10,9
requests,14,1,1,1,1,1
requests,15,1,1,1,8,1
requests,16,9,8,10,9,9
requests,17,1,1,1,1,1
requests,18,9,8,10,9,9
requests,19,1,1,3,8,1
requests,20,9,8,10,9,9
requests,21,8,6,10,9,8
requests,22,1,1,1,1,1
requests,23,8,6,10,9,8
requests,24,1,1,1,1,1
requests,25,10,10,10,10,10
requests,26,8,7,9,8,7
requests,27,9,8,10,9,9
requests,28,8,6,10,9,8
requests,29,9,8,10,9,8
requests,30,8,7,10,9,8
requests,31,9,7,10,9,8
requests,32,9,8,10,9,8
requests,33,9,9,10,9,9
requests,34,8,6,10,9,7
requests,35,8,6,9,8,7
requests,36,9,8,10,9,9
requests,37,8,7,9,8,8
requests,38,6,4,8,7,6
requests,39,8,6,9,9,7
requests,40,9,8,10,9,9
requests,41,9,8,10,9,9
requests,42,9,8,10,9,9
requests,43,9,8,10,9,9
requests,44,1,1,1,8,1
requests,45,8,9,10,9,9
requests,46,8,6,9,10,8
requests,47,9,8,10,9,9
scikit-learn,0,7,6,9,8,7
scikit-learn,1,9,8,10,8,9
scikit-learn,2,8,7,9,8,8
scikit-learn,3,8,6,10,9,8
scikit-learn,4,8,6,9,7,7
scikit-learn,5,9,7,10,9,8
scikit-learn,6,9,7,10,9,8
scikit-learn,7,9,8,10,9,9
scikit-learn,8,9,8,10,9,9
scikit-learn,9,1,1,1,8,1
scikit-learn,10,1,1,1,3,1
scikit-learn,11,8,7,9,8,8
scikit-learn,12,9,7,10,9,8
scikit-learn,13,8,6,9,9,7
scikit-learn,14,8,7,9,8,8
scikit-learn,15,8,6,9,8,7
scikit-learn,16,9,8,10,9,9
scikit-learn,17,9,7,10,9,8
scikit-learn,18,8,6,9,7,8
scikit-learn,19,1,1,1,1,1
scikit-learn,20,8,7,9,8,8
scikit-learn,21,9,8,10,9,9
scikit-learn,22,8,6,9,8,7
scikit-learn,23,8,6,9,7,8
scikit-learn,24,8,6,9,7,7
scikit-learn,25,1,1,1,4,1
scikit-learn,26,8,6,10,9,8
scikit-learn,27,8,6,10,9,7
scikit-learn,28,6,4,8,7,6
scikit-learn,29,8,6,10,9,7
scikit-learn,30,8,6,9,8,7
scikit-learn,31,9,8,10,9,9
scikit-learn,32,8,6,10,9,7
scikit-learn,33,8,6,9,8,7
scikit-learn,34,4,3,8,7,5
scikit-learn,35,8,7,9,8,7
scikit-learn,36,1,1,1,8,1
scikit-learn,37,8,7,9,8,8
scikit-learn,38,1,1,1,1,1
scikit-learn,39,8,6,9,9,7
scikit-learn,40,8,6,9,8,7
scikit-learn,41,1,1,1,1,1
scikit-learn,42,8,7,9,8,8
scikit-learn,43,8,6,9,7,8
scikit-learn,44,8,6,9,8,7
scikit-learn,45,8,6,9,8,7
scikit-learn,46,9,7,10,9,8
scikit-learn,47,8,6,10,9,8
sphinx,0,8,7,9,8,8
sphinx,1,6,6,8,7,7
sphinx,2,8,7,9,8,7
sphinx,3,2,2,6,8,4
sphinx,4,4,3,6,7,5
sphinx,5,8,7,9,8,7
sphinx,6,9,8,10,9,9
sphinx,7,9,8,10,9,9
sphinx,8,8,7,9,8,8
sphinx,9,9,8,10,9,9
sphinx,10,9,9,10,8,9
sphinx,11,8,7,9,8,8
sphinx,12,9,8,10,9,9
sphinx,13,9,9,10,8,9
sphinx,14,9,9,10,8,9
sphinx,15,9,8,10,9,9
sphinx,16,9,8,10,9,9
sphinx,17,8,7,9,8,7
sphinx,18,8,7,9,8,7
sphinx,19,6,4,8,9,7
sphinx,20,9,8,10,8,9
sphinx,21,9,8,10,9,9
sphinx,22,6,4,8,9,7
sphinx,23,9,9,10,9,9
sphinx,24,6,6,8,7,7
sphinx,25,9,9,10,9,9
sphinx,26,4,4,6,8,6
sphinx,27,8,7,9,8,8
sphinx,28,6,4,8,9,7
sphinx,29,8,7,9,8,8
sphinx,30,8,7,9,9,8
sphinx,31,6,4,8,9,7
sphinx,32,6,4,8,7,6
sphinx,33,1,1,1,1,1
sphinx,34,8,6,9,9,7
sphinx,35,6,4,7,8,6
sphinx,36,8,7,9,8,8
sphinx,37,9,8,10,9,9
sphinx,38,9,8,10,9,9
sphinx,39,9,8,10,9,9
sphinx,40,9,8,10,9,8
sphinx,41,8,6,9,8,7
sphinx,42,8,7,9,8,8
sphinx,43,8,7,9,8,8
sphinx,44,9,8,10,9,9
sphinx,45,8,7,9,8,8
sphinx,46,8,7,9,7,8
sphinx,47,9,8,10,9,9
sqlfluff,0,9,9,10,8,9
sqlfluff,1,8,7,9,8,7
sqlfluff,2,8,9,10,9,9
sqlfluff,3,8,7,9,9,8
sqlfluff,4,8,7,9,9,8
sqlfluff,5,8,7,10,9,8
sqlfluff,6,8,7,9,9,8
sqlfluff,7,9,8,10,9,9
sqlfluff,8,9,9,10,9,9
sqlfluff,9,8,7,9,9,8
sqlfluff,10,9,8,10,9,9
sqlfluff,11,8,6,9,8,7
sqlfluff,12,9,8,10,9,9
sqlfluff,13,8,7,9,9,8
sqlfluff,14,9,8,10,10,9
sqlfluff,15,8,7,9,9,8
sqlfluff,16,8,7,9,9,8
sqlfluff,17,9,8,10,9,9
sqlfluff,18,9,8,10,9,9
sqlfluff,19,8,7,9,9,8
sqlfluff,20,8,7,9,9,8
sqlfluff,21,8,6,9,9,8
sqlfluff,22,1,1,1,1,1
sqlfluff,23,8,6,9,9,8
sqlfluff,24,9,9,10,9,9
sqlfluff,25,9,9,10,9,9
sqlfluff,26,8,7,9,8,8
sqlfluff,27,8,7,9,8,8
sqlfluff,28,6,4,8,7,6
sqlfluff,29,9,8,10,9,9
sqlfluff,30,8,6,10,9,8
sqlfluff,31,6,4,8,9,7
sqlfluff,32,2,2,6,8,4
sqlfluff,33,6,4,8,9,7
sqlfluff,34,8,6,10,9,8
sqlfluff,35,6,4,8,9,7
sqlfluff,36,9,9,10,9,9
sqlfluff,37,7,6,8,8,7
sqlfluff,38,9,9,10,10,10
sqlfluff,39,8,7,9,9,8
sqlfluff,40,8,7,9,9,8
sqlfluff,41,9,8,10,9,9
sqlfluff,42,4,3,6,8,5
sqlfluff,43,8,7,9,8,7
sqlfluff,44,8,8,9,9,8
sqlfluff,45,8,7,9,8,7
sqlfluff,46,8,7,9,8,8
sqlfluff,47,6,4,8,9,6
streamlink,0,10,10,10,10,10
streamlink,1,9,8,10,9,9
streamlink,2,10,10,10,10,10
streamlink,3,10,10,10,10,10
streamlink,4,1,1,1,1,1
streamlink,5,10,10,10,10,10
streamlink,6,10,10,10,10,10
streamlink,7,10,10,10,10,10
streamlink,8,10,10,10,10,10
streamlink,9,10,10,10,10,10
streamlink,10,10,10,10,10,10
streamlink,11,10,10,10,10,10
streamlink,12,10,10,10,10,10
streamlink,13,10,10,10,10,10
streamlink,14,9,8,10,9,9
streamlink,15,10,10,10,10,10
streamlink,16,10,10,10,10,10
streamlink,17,10,10,10,10,10
streamlink,18,9,8,10,8,9
streamlink,19,9,8,10,9,9
streamlink,20,10,10,10,10,10
streamlink,21,10,10,10,10,10
streamlink,22,10,10,10,10,10
streamlink,23,10,10,10,10,10
streamlink,24,10,10,10,10,10
streamlink,25,10,10,10,10,10
streamlink,26,8,6,9,9,7
streamlink,27,10,10,10,10,10
streamlink,28,10,10,10,10,10
streamlink,29,10,10,10,10,10
streamlink,30,10,10,10,10,10
streamlink,31,10,10,10,10,10
streamlink,32,10,10,10,10,10
streamlink,33,10,10,10,10,10
streamlink,34,9,8,10,9,9
streamlink,35,10,10,10,10,10
streamlink,36,10,10,10,10,10
streamlink,37,10,10,10,10,10
streamlink,38,10,10,10,10,10
streamlink,39,10,10,10,10,10
streamlink,40,10,10,10,10,10
streamlink,41,10,10,10,10,10
streamlink,42,1,1,1,1,1
streamlink,43,10,10,10,10,10
streamlink,44,10,10,10,10,10
streamlink,45,10,10,10,10,10
streamlink,46,10,10,10,10,10
streamlink,47,10,10,10,10,10
sympy,0,7,8,9,8,7
sympy,1,9,9,10,9,9
sympy,2,4,5,6,7,5
sympy,3,9,8,10,9,9
sympy,4,9,8,10,9,9
sympy,5,9,8,10,9,9
sympy,6,9,8,10,9,9
sympy,7,9,8,10,9,9
sympy,8,9,9,10,9,9
sympy,9,10,10,10,10,10
sympy,10,9,8,10,8,9
sympy,11,8,7,9,8,8
sympy,12,9,9,10,8,9
sympy,13,9,9,10,9,9
sympy,14,9,8,10,9,9
sympy,15,9,8,10,9,9
sympy,16,9,8,10,9,9
sympy,17,9,9,10,8,9
sympy,18,9,8,10,9,9
sympy,19,1,1,1,1,1
sympy,20,9,8,10,9,9
sympy,21,8,7,9,8,8
sympy,22,9,9,10,9,9
sympy,23,9,8,10,9,9
sympy,24,6,4,8,7,6
sympy,25,9,8,10,9,9
sympy,26,7,6,8,7,6
sympy,27,6,6,8,7,6
sympy,28,10,10,10,10,10
sympy,29,9,8,10,9,8
sympy,30,9,9,10,9,9
sympy,31,9,9,10,9,9
sympy,32,10,8,10,9,8
sympy,33,6,4,8,9,7
sympy,34,8,6,10,9,7
sympy,35,8,7,10,9,8
sympy,36,9,8,10,9,8
sympy,37,8,7,9,8,7
sympy,38,8,7,9,8,7
sympy,39,8,7,9,8,7
sympy,40,6,4,8,9,7
sympy,41,7,6,9,8,7
sympy,42,7,6,9,8,7
sympy,43,9,8,10,9,9
sympy,44,8,7,9,9,8
sympy,45,7,6,8,7,6
sympy,46,8,7,9,8,7
sympy,47,8,6,9,8,7
xarray,0,9,9,10,10,9
xarray,1,8,7,9,8,7
xarray,2,9,9,10,8,9
xarray,3,9,9,10,9,9
xarray,4,9,9,10,9,9
xarray,5,9,8,10,9,9
xarray,6,1,1,1,1,1
xarray,7,9,8,10,9,9
xarray,8,8,9,10,9,9
xarray,9,9,9,10,8,9
xarray,10,9,9,10,8,9
xarray,11,10,10,10,10,10
xarray,12,10,10,10,10,10
xarray,13,1,1,1,1,1
xarray,14,9,9,10,9,9
xarray,15,10,10,10,10,10
xarray,16,9,8,10,9,8
xarray,17,9,9,10,9,9
xarray,18,9,9,10,9,9
xarray,19,9,9,10,9,9
xarray,20,1,1,1,1,1
xarray,21,9,9,10,9,9
xarray,22,9,9,10,9,9
xarray,23,10,10,10,10,10
xarray,24,6,4,8,9,7
xarray,25,8,7,9,8,8
xarray,26,9,8,10,9,9
xarray,27,9,9,10,8,9
xarray,28,9,9,10,8,9
xarray,29,9,9,10,9,8
xarray,30,4,3,6,8,5
xarray,31,8,8,10,9,9
xarray,32,2,2,8,9,3
xarray,33,6,4,8,7,6
xarray,34,8,6,9,8,7
xarray,35,9,8,10,9,8
xarray,36,7,6,9,8,7
xarray,37,9,9,10,9,9
xarray,38,8,7,9,9,8
xarray,39,7,6,8,7,7
xarray,40,1,1,1,1,1
xarray,41,8,6,9,9,7
xarray,42,8,7,9,9,8
xarray,43,8,7,10,9,8
xarray,44,8,7,9,9,8
xarray,45,8,6,9,8,7
xarray,46,9,8,10,9,9
xarray,47,8,7,9,8,7
