repo,element_id,correctness,completeness,relevance,clarity,reasoning
astropy,0,5,5,8,8,7
astropy,1,9,8,10,10,10
astropy,2,8,7,10,9,9
astropy,3,7,5,9,8,8
astropy,4,1,1,1,1,1
astropy,5,10,9,10,10,10
astropy,6,8,7,10,9,9
astropy,7,10,10,10,10,10
astropy,8,9,8,10,9,10
astropy,9,1,1,1,1,1
astropy,10,9,10,10,10,10
astropy,11,1,1,1,1,1
astropy,12,10,9,10,10,10
astropy,13,9,9,10,9,10
astropy,14,1,1,1,1,1
astropy,15,8,7,10,9,9
astropy,16,8,7,10,9,9
astropy,17,10,10,10,10,10
astropy,18,9,8,10,9,9
astropy,19,1,1,1,1,1
astropy,20,9,7,10,9,9
astropy,21,1,1,1,9,1
astropy,22,8,6,10,10,8
astropy,23,7,6,10,9,8
astropy,24,8,7,10,9,10
astropy,25,2,4,6,8,4
astropy,26,10,10,10,10,10
astropy,27,1,1,1,1,1
astropy,28,10,8,10,9,9
astropy,29,10,8,10,9,10
astropy,30,8,7,10,9,9
astropy,31,8,6,10,9,9
astropy,32,10,8,10,10,10
astropy,33,6,7,8,9,6
astropy,34,8,6,10,8,9
astropy,35,4,4,10,9,8
astropy,36,1,1,1,2,1
astropy,37,8,7,10,9,9
astropy,38,8,6,8,8,7
astropy,39,10,10,10,10,10
astropy,40,8,8,10,9,9
astropy,41,8,7,10,7,8
astropy,42,9,10,10,10,10
astropy,43,10,10,10,10,10
astropy,44,9,9,10,9,10
astropy,45,10,10,10,10,10
astropy,46,10,10,10,10,10
astropy,47,6,5,9,9,8
conan,0,9,10,10,9,9
conan,1,10,10,10,10,10
conan,2,9,10,10,8,9
conan,3,10,10,10,9,10
conan,4,10,10,10,9,10
conan,5,10,10,10,10,
conan,6,10,10,10,10,10
conan,7,10,10,10,10,10
conan,8,9,10,10,9,10
conan,9,9,10,10,9,10
conan,10,10,10,10,9,10
conan,11,10,10,10,10,10
conan,12,9,8,10,8,9
conan,13,9,8,10,8,8
conan,14,10,10,10,10,10
