repo,element_id,correctness,completeness,relevance,clarity,reasoning
astropy,0,5,6,7,7,6
astropy,1,8,8,10,9,8
astropy,2,7,6,7,7,7
astropy,3,6,5,7,6,5
astropy,4,1,1,1,1,1
astropy,5,9,8,10,8,9
astropy,6,8,8,10,9,9
astropy,7,10,9,10,9,9
astropy,8,8,7,10,8,9
astropy,9,1,1,1,1,1
astropy,10,9,8,10,8,9
astropy,11,1,1,1,1,1
astropy,12,8,7,10,9,9
astropy,13,9,8,10,9,9
astropy,14,1,1,1,1,1
astropy,15,8,7,10,8,9
astropy,16,8,8,10,9,8
astropy,17,9,8,10,9,9
astropy,18,9,8,10,8,9
astropy,19,1,1,1,1,1
astropy,20,8,7,10,8,9
astropy,21,2,1,2,1,1
astropy,22,7,6,10,8,8
astropy,23,6,6,8,8,7
astropy,24,9,9,10,9,9
astropy,25,2,1,2,4,2
astropy,26,9,8,9,8,9
astropy,27,1,1,1,1,1
astropy,28,9,7,10,8,9
astropy,29,10,7,10,10,10
astropy,30,7,7,8,8,7
astropy,31,6,4,8,8,6
astropy,32,9,7,10,8,8
astropy,33,6,7,8,9,6
astropy,34,6,4,10,7,6
astropy,35,6,6,10,8,8
astropy,36,1,1,3,4,2
astropy,37,8,7,10,9,9
astropy,38,7,6,7,5,6
astropy,39,9,10,10,9,9
astropy,40,8,8,10,7,9
astropy,41,8,7,10,7,8
astropy,42,8,9,10,9,9
astropy,43,8,9,10,8,9
astropy,44,9,10,10,9,9
astropy,45,10,10,10,10,10
astropy,46,10,10,10,10,10
astropy,47,6,5,9,9,8
conan,0,8,8,10,6,9
conan,1,8,9,10,8,9
conan,2,9,10,10,8,9
conan,3,9,10,10,9,10
conan,4,10,10,10,10,10
conan,5,9,10,10,8,9
conan,6,9,10,10,9,10
conan,7,9,10,10,9,10
conan,8,10,10,10,10,10
conan,9,9,10,10,9,9
conan,10,8,10,10,9,9
conan,11,9,8,10,9,9
conan,12,7,8,10,7,7
conan,13,7,5,7,6,6
conan,14,10,10,10,10,10
conan,15,9,9,10,8,9
conan,16,9,8,10,9,9
conan,17,10,10,10,10,10
conan,18,8,8,10,8,9
conan,19,9,10,10,9,9
conan,20,9,9,10,8,9
conan,21,8,8,10,9,9
conan,22,9,8,10,9,9
conan,23,8,7,10,8,7
conan,24,10,9,10,8,9
conan,25,9,10,10,9,10
conan,26,10,10,10,10,10
conan,27,9,10,10,9,10
conan,28,9,9,10,8,10
conan,29,8,9,10,9,9
conan,30,9,8,10,9,9
conan,31,5,4,3,6,4
conan,32,9,8,10,9,9
conan,33,8,9,10,8,9
conan,34,9,8,10,8,9
conan,35,9,10,10,9,10
conan,36,9,10,10,8,9
conan,37,9,8,10,8,9
conan,38,9,10,10,9,9
conan,39,10,10,10,9,10
conan,40,9,9,10,8,8
conan,41,9,10,10,9,10
conan,42,9,10,10,8,10
conan,43,9,9,10,8,9
conan,44,10,9,10,9,10
conan,45,10,10,10,10,10
conan,46,9,8,10,9,9
conan,47,9,9,10,9,9
django,0,7,6,10,8,7
django,1,8,7,9,8,7
django,2,8,7,8,9,8
django,3,8,6,10,9,8
django,4,8,6,10,8,7
django,5,8,7,10,9,8
django,6,8,7,10,8,7
django,7,7,5,9,8,6
django,8,9,7,10,8,8
django,9,7,5,8,7,6
django,10,7,6,8,7,7
django,11,8,6,8,7,7
django,12,8,6,10,8,7
django,13,7,5,9,8,7
django,14,9,8,10,9,9
django,15,8,7,10,9,8
django,16,7,6,9,8,7
django,17,7,6,9,8,7
django,18,7,6,9,8,7
django,19,7,6,10,8,7
django,20,8,7,10,9,8
django,21,7,5,10,8,6
django,22,7,6,9,8,7
django,23,7,6,9,8,8
django,24,8,6,9,8,8
django,25,8,7,10,8,8
django,26,7,6,9,8,7
django,27,6,4,8,8,4
django,28,8,6,10,8,7
django,29,8,6,10,9,7
django,30,8,6,10,9,7
django,31,7,5,10,8,7
django,32,7,4,10,8,5
django,33,9,6,10,8,7
django,34,4,2,5,6,3
django,35,9,7,10,8,7
django,36,7,6,10,7,7
django,37,8,7,10,8,8
django,38,8,6,9,8,7
django,39,7,5,10,8,6
django,40,8,7,10,8,8
django,41,8,7,9,8,8
django,42,9,8,10,8,9
django,43,8,8,10,9,9
django,44,8,8,10,8,8
django,45,7,7,8,8,8
